"","Luclass","refinedLUclass","BII","share_area_global_refinedLUclass.in.Luclass"
"1","cropland_other_f","Forested Annual + Nitrogen",0.286963191792329,0.827363866
"2","cropland_other_f","Forested Perennial",0.629581501477,0.172636134
"3","cropland_other_nf","Non-forested Annual + Nitrogen",0.576753441487797,0.921679434
"4","cropland_other_nf","Non-forested Perennial",0.740993429313291,0.078320566
"5","cropland_2Gbioen_f","Forested Perennial",0.629581501477,1
"6","cropland_2Gbioen_nf","Non-forested Perennial",0.740993429313291,1
"7","grassland_f","Forested pasture (rangelands+managed pasture) ",0.540682696440899,1
"8","grassland_nf","Non-forested pasture (rangelands + managed pasture)",0.598096463712639,1
"9","forest_unmanaged","Forested Primary Minimal use",1,0.826992204
"10","forest_unmanaged","Forested Mature secondary vegetation Minimal use",0.941546325141379,0.173007796
"11","forest_managed","Forested Primary vegetation (light and intense use)",1,0.511262526
"12","forest_managed","Forested Secondary (light and intense) + Forested Timber (light and intense use)",0.880459286963031,0.488737474
"13","restored_f","Forested Mature secondary vegetation Minimal use",0.941546325141379,1
"14","restored_nf","Non-forested Mature secondary vegetation Minimal use",0.899323534516931,1
"15","other_nf","Non-forested Primary Minimal use",1,0.596041247
"16","other_nf","Non-forested Secondary vegetation (all ages) Minimal use",0.84598656334758,0.403958753
"17","other_f","Forested Young secondary vegetation Minimal use",0.935218815943761,1
"18","built.up_f","Forested Urban",0.715122812692979,1
"19","built.up_nf","Non-forested Urban",0.636202085440126,1
